"","year","country_sector","country","sector","ecp","CO2"
"90",1990,"Belgium (BEL) Acquisitions less disposals of valuables P.53","Belgium","Acquisitions less disposals of valuables P.53",NA,0
"91",1990,"Benin (BEN) Household final consumption P.3h","Benin","Household final consumption P.3h",0,152.89191353417
"92",1990,"Benin (BEN) Non-profit institutions serving households P.3n","Benin","Non-profit institutions serving households P.3n",NA,0
"93",1990,"Benin (BEN) Government final consumption P.3g","Benin","Government final consumption P.3g",NA,0
"94",1990,"Benin (BEN) Gross fixed capital formation P.51","Benin","Gross fixed capital formation P.51",NA,0
"95",1990,"Benin (BEN) Changes in inventories P.52","Benin","Changes in inventories P.52",NA,0
"96",1990,"Benin (BEN) Acquisitions less disposals of valuables P.53","Benin","Acquisitions less disposals of valuables P.53",NA,0
"97",1990,"Burkina Faso (BFA) Household final consumption P.3h","Burkina Faso","Household final consumption P.3h",0,107.215738205418
"98",1990,"Burkina Faso (BFA) Non-profit institutions serving households P.3n","Burkina Faso","Non-profit institutions serving households P.3n",NA,0
"99",1990,"Burkina Faso (BFA) Government final consumption P.3g","Burkina Faso","Government final consumption P.3g",NA,0
"100",1990,"Burkina Faso (BFA) Gross fixed capital formation P.51","Burkina Faso","Gross fixed capital formation P.51",NA,0
"101",1990,"Burkina Faso (BFA) Changes in inventories P.52","Burkina Faso","Changes in inventories P.52",NA,0
"102",1990,"Burkina Faso (BFA) Acquisitions less disposals of valuables P.53","Burkina Faso","Acquisitions less disposals of valuables P.53",NA,0
"103",1990,"Bangladesh (BGD) Household final consumption P.3h","Bangladesh","Household final consumption P.3h",0,3525.70319670938
"104",1990,"Bangladesh (BGD) Non-profit institutions serving households P.3n","Bangladesh","Non-profit institutions serving households P.3n",NA,0
"105",1990,"Bangladesh (BGD) Government final consumption P.3g","Bangladesh","Government final consumption P.3g",NA,0
"106",1990,"Bangladesh (BGD) Gross fixed capital formation P.51","Bangladesh","Gross fixed capital formation P.51",NA,0
"107",1990,"Bangladesh (BGD) Changes in inventories P.52","Bangladesh","Changes in inventories P.52",NA,0
"108",1990,"Bangladesh (BGD) Acquisitions less disposals of valuables P.53","Bangladesh","Acquisitions less disposals of valuables P.53",NA,0
"109",1990,"Bulgaria (BGR) Household final consumption P.3h","Bulgaria","Household final consumption P.3h",0,11814.3092769456
"110",1990,"Bulgaria (BGR) Non-profit institutions serving households P.3n","Bulgaria","Non-profit institutions serving households P.3n",NA,0
"111",1990,"Bulgaria (BGR) Government final consumption P.3g","Bulgaria","Government final consumption P.3g",NA,0
"112",1990,"Bulgaria (BGR) Gross fixed capital formation P.51","Bulgaria","Gross fixed capital formation P.51",NA,0
"113",1990,"Bulgaria (BGR) Changes in inventories P.52","Bulgaria","Changes in inventories P.52",NA,0
"114",1990,"Bulgaria (BGR) Acquisitions less disposals of valuables P.53","Bulgaria","Acquisitions less disposals of valuables P.53",NA,0
"115",1990,"Bahrain (BHR) Household final consumption P.3h","Bahrain","Household final consumption P.3h",0,928.915091423134
"116",1990,"Bahrain (BHR) Non-profit institutions serving households P.3n","Bahrain","Non-profit institutions serving households P.3n",NA,0
"117",1990,"Bahrain (BHR) Government final consumption P.3g","Bahrain","Government final consumption P.3g",NA,0
"118",1990,"Bahrain (BHR) Gross fixed capital formation P.51","Bahrain","Gross fixed capital formation P.51",NA,0
"119",1990,"Bahrain (BHR) Changes in inventories P.52","Bahrain","Changes in inventories P.52",NA,0
"120",1990,"Bahrain (BHR) Acquisitions less disposals of valuables P.53","Bahrain","Acquisitions less disposals of valuables P.53",NA,0
"121",1990,"Bahamas (BHS) Household final consumption P.3h","Bahamas","Household final consumption P.3h",0,337.847961366214
"122",1990,"Bahamas (BHS) Non-profit institutions serving households P.3n","Bahamas","Non-profit institutions serving households P.3n",NA,0
"123",1990,"Bahamas (BHS) Government final consumption P.3g","Bahamas","Government final consumption P.3g",NA,0
"124",1990,"Bahamas (BHS) Gross fixed capital formation P.51","Bahamas","Gross fixed capital formation P.51",NA,0
"125",1990,"Bahamas (BHS) Changes in inventories P.52","Bahamas","Changes in inventories P.52",NA,0
"126",1990,"Bahamas (BHS) Acquisitions less disposals of valuables P.53","Bahamas","Acquisitions less disposals of valuables P.53",NA,0
"127",1990,"Bosnia and Herzegovina (BIH) Household final consumption P.3h","Bosnia and Herzegovina","Household final consumption P.3h",0,1451.72168519162
"128",1990,"Bosnia and Herzegovina (BIH) Non-profit institutions serving households P.3n","Bosnia and Herzegovina","Non-profit institutions serving households P.3n",NA,0
"129",1990,"Bosnia and Herzegovina (BIH) Government final consumption P.3g","Bosnia and Herzegovina","Government final consumption P.3g",NA,0
"130",1990,"Bosnia and Herzegovina (BIH) Gross fixed capital formation P.51","Bosnia and Herzegovina","Gross fixed capital formation P.51",NA,0
"131",1990,"Bosnia and Herzegovina (BIH) Changes in inventories P.52","Bosnia and Herzegovina","Changes in inventories P.52",NA,0
"132",1990,"Bosnia and Herzegovina (BIH) Acquisitions less disposals of valuables P.53","Bosnia and Herzegovina","Acquisitions less disposals of valuables P.53",NA,0
"133",1990,"Belarus (BLR) Household final consumption P.3h","Belarus","Household final consumption P.3h",0,24388.7082314677
"134",1990,"Belarus (BLR) Non-profit institutions serving households P.3n","Belarus","Non-profit institutions serving households P.3n",NA,0
"135",1990,"Belarus (BLR) Government final consumption P.3g","Belarus","Government final consumption P.3g",NA,0
"136",1990,"Belarus (BLR) Gross fixed capital formation P.51","Belarus","Gross fixed capital formation P.51",NA,0
"137",1990,"Belarus (BLR) Changes in inventories P.52","Belarus","Changes in inventories P.52",NA,0
"138",1990,"Belarus (BLR) Acquisitions less disposals of valuables P.53","Belarus","Acquisitions less disposals of valuables P.53",NA,0
"139",1990,"Belize (BLZ) Household final consumption P.3h","Belize","Household final consumption P.3h",0,46.8801315087389
"140",1990,"Belize (BLZ) Non-profit institutions serving households P.3n","Belize","Non-profit institutions serving households P.3n",NA,0
"141",1990,"Belize (BLZ) Government final consumption P.3g","Belize","Government final consumption P.3g",NA,0
"142",1990,"Belize (BLZ) Gross fixed capital formation P.51","Belize","Gross fixed capital formation P.51",NA,0
"143",1990,"Belize (BLZ) Changes in inventories P.52","Belize","Changes in inventories P.52",NA,0
"144",1990,"Belize (BLZ) Acquisitions less disposals of valuables P.53","Belize","Acquisitions less disposals of valuables P.53",NA,0
"145",1990,"Bolivia (BOL) Household final consumption P.3h","Bolivia","Household final consumption P.3h",0,1038.36780264274
"146",1990,"Bolivia (BOL) Non-profit institutions serving households P.3n","Bolivia","Non-profit institutions serving households P.3n",NA,0
"147",1990,"Bolivia (BOL) Government final consumption P.3g","Bolivia","Government final consumption P.3g",NA,0
"148",1990,"Bolivia (BOL) Gross fixed capital formation P.51","Bolivia","Gross fixed capital formation P.51",NA,0
"149",1990,"Bolivia (BOL) Changes in inventories P.52","Bolivia","Changes in inventories P.52",NA,0
"150",1990,"Bolivia (BOL) Acquisitions less disposals of valuables P.53","Bolivia","Acquisitions less disposals of valuables P.53",NA,0
"151",1990,"Brazil (BRA) Household final consumption P.3h","Brazil","Household final consumption P.3h",0,73058.9289909645
"152",1990,"Brazil (BRA) Non-profit institutions serving households P.3n","Brazil","Non-profit institutions serving households P.3n",NA,0
"153",1990,"Brazil (BRA) Government final consumption P.3g","Brazil","Government final consumption P.3g",NA,0
"154",1990,"Brazil (BRA) Gross fixed capital formation P.51","Brazil","Gross fixed capital formation P.51",NA,0
"155",1990,"Brazil (BRA) Changes in inventories P.52","Brazil","Changes in inventories P.52",NA,0
"156",1990,"Brazil (BRA) Acquisitions less disposals of valuables P.53","Brazil","Acquisitions less disposals of valuables P.53",NA,0
"157",1990,"Brunei Darussalam (BRN) Household final consumption P.3h","Brunei Darussalam","Household final consumption P.3h",0,373.742892238057
"158",1990,"Brunei Darussalam (BRN) Non-profit institutions serving households P.3n","Brunei Darussalam","Non-profit institutions serving households P.3n",NA,0
"159",1990,"Brunei Darussalam (BRN) Government final consumption P.3g","Brunei Darussalam","Government final consumption P.3g",NA,0
"160",1990,"Brunei Darussalam (BRN) Gross fixed capital formation P.51","Brunei Darussalam","Gross fixed capital formation P.51",NA,0
"161",1990,"Brunei Darussalam (BRN) Changes in inventories P.52","Brunei Darussalam","Changes in inventories P.52",NA,0
"162",1990,"Brunei Darussalam (BRN) Acquisitions less disposals of valuables P.53","Brunei Darussalam","Acquisitions less disposals of valuables P.53",NA,0
"163",1990,"Bhutan (BTN) Household final consumption P.3h","Bhutan","Household final consumption P.3h",0,16.2100386783217
"164",1990,"Bhutan (BTN) Non-profit institutions serving households P.3n","Bhutan","Non-profit institutions serving households P.3n",NA,0
"165",1990,"Bhutan (BTN) Government final consumption P.3g","Bhutan","Government final consumption P.3g",NA,0
"166",1990,"Bhutan (BTN) Gross fixed capital formation P.51","Bhutan","Gross fixed capital formation P.51",NA,0
"167",1990,"Bhutan (BTN) Changes in inventories P.52","Bhutan","Changes in inventories P.52",NA,0
"168",1990,"Bhutan (BTN) Acquisitions less disposals of valuables P.53","Bhutan","Acquisitions less disposals of valuables P.53",NA,0
"169",1990,"Botswana (BWA) Household final consumption P.3h","Botswana","Household final consumption P.3h",0,364.977784370176
"170",1990,"Botswana (BWA) Non-profit institutions serving households P.3n","Botswana","Non-profit institutions serving households P.3n",NA,0
"171",1990,"Botswana (BWA) Government final consumption P.3g","Botswana","Government final consumption P.3g",NA,0
"172",1990,"Botswana (BWA) Gross fixed capital formation P.51","Botswana","Gross fixed capital formation P.51",NA,0
"173",1990,"Botswana (BWA) Changes in inventories P.52","Botswana","Changes in inventories P.52",NA,0
"174",1990,"Botswana (BWA) Acquisitions less disposals of valuables P.53","Botswana","Acquisitions less disposals of valuables P.53",NA,0
"175",1990,"Central African Republic (CAF) Household final consumption P.3h","Central African Republic","Household final consumption P.3h",0,65.6496838642415
"176",1990,"Central African Republic (CAF) Non-profit institutions serving households P.3n","Central African Republic","Non-profit institutions serving households P.3n",NA,0
"177",1990,"Central African Republic (CAF) Government final consumption P.3g","Central African Republic","Government final consumption P.3g",NA,0
"178",1990,"Central African Republic (CAF) Gross fixed capital formation P.51","Central African Republic","Gross fixed capital formation P.51",NA,0
"179",1990,"Central African Republic (CAF) Changes in inventories P.52","Central African Republic","Changes in inventories P.52",NA,0
"180",1990,"Central African Republic (CAF) Acquisitions less disposals of valuables P.53","Central African Republic","Acquisitions less disposals of valuables P.53",NA,0
"181",1990,"Canada (CAN) Household final consumption P.3h","Canada","Household final consumption P.3h",0,133184.789878362
"182",1990,"Canada (CAN) Non-profit institutions serving households P.3n","Canada","Non-profit institutions serving households P.3n",NA,0
"183",1990,"Canada (CAN) Government final consumption P.3g","Canada","Government final consumption P.3g",NA,0
"184",1990,"Canada (CAN) Gross fixed capital formation P.51","Canada","Gross fixed capital formation P.51",NA,0
"185",1990,"Canada (CAN) Changes in inventories P.52","Canada","Changes in inventories P.52",NA,0
"186",1990,"Canada (CAN) Acquisitions less disposals of valuables P.53","Canada","Acquisitions less disposals of valuables P.53",NA,0
"187",1990,"Switzerland (CHE) Household final consumption P.3h","Switzerland","Household final consumption P.3h",0,27504.086671842
"188",1990,"Switzerland (CHE) Non-profit institutions serving households P.3n","Switzerland","Non-profit institutions serving households P.3n",NA,0
"189",1990,"Switzerland (CHE) Government final consumption P.3g","Switzerland","Government final consumption P.3g",NA,0
"190",1990,"Switzerland (CHE) Gross fixed capital formation P.51","Switzerland","Gross fixed capital formation P.51",NA,0
"191",1990,"Switzerland (CHE) Changes in inventories P.52","Switzerland","Changes in inventories P.52",NA,0
"192",1990,"Switzerland (CHE) Acquisitions less disposals of valuables P.53","Switzerland","Acquisitions less disposals of valuables P.53",NA,0
"193",1990,"Chile (CHL) Household final consumption P.3h","Chile","Household final consumption P.3h",0,7221.44320658962
"194",1990,"Chile (CHL) Non-profit institutions serving households P.3n","Chile","Non-profit institutions serving households P.3n",NA,0
"195",1990,"Chile (CHL) Government final consumption P.3g","Chile","Government final consumption P.3g",NA,0
"196",1990,"Chile (CHL) Gross fixed capital formation P.51","Chile","Gross fixed capital formation P.51",NA,0
"197",1990,"Chile (CHL) Changes in inventories P.52","Chile","Changes in inventories P.52",NA,0
"198",1990,"Chile (CHL) Acquisitions less disposals of valuables P.53","Chile","Acquisitions less disposals of valuables P.53",NA,0
"199",1990,"China (CHN) Household final consumption P.3h","China","Household final consumption P.3h",0,504434.797013797
"200",1990,"China (CHN) Non-profit institutions serving households P.3n","China","Non-profit institutions serving households P.3n",NA,0
"201",1990,"China (CHN) Government final consumption P.3g","China","Government final consumption P.3g",NA,0
"202",1990,"China (CHN) Gross fixed capital formation P.51","China","Gross fixed capital formation P.51",NA,0
"203",1990,"China (CHN) Changes in inventories P.52","China","Changes in inventories P.52",NA,0
"204",1990,"China (CHN) Acquisitions less disposals of valuables P.53","China","Acquisitions less disposals of valuables P.53",NA,0
"205",1990,"Cote d'Ivoire (CIV) Household final consumption P.3h","Cote d'Ivoire","Household final consumption P.3h",0,840.521716641678
"206",1990,"Cote d'Ivoire (CIV) Non-profit institutions serving households P.3n","Cote d'Ivoire","Non-profit institutions serving households P.3n",NA,0
"207",1990,"Cote d'Ivoire (CIV) Government final consumption P.3g","Cote d'Ivoire","Government final consumption P.3g",NA,0
"208",1990,"Cote d'Ivoire (CIV) Gross fixed capital formation P.51","Cote d'Ivoire","Gross fixed capital formation P.51",NA,0
"209",1990,"Cote d'Ivoire (CIV) Changes in inventories P.52","Cote d'Ivoire","Changes in inventories P.52",NA,0
"210",1990,"Cote d'Ivoire (CIV) Acquisitions less disposals of valuables P.53","Cote d'Ivoire","Acquisitions less disposals of valuables P.53",NA,0
"211",1990,"Cameroon (CMR) Household final consumption P.3h","Cameroon","Household final consumption P.3h",0,1746.08431317564
"212",1990,"Cameroon (CMR) Non-profit institutions serving households P.3n","Cameroon","Non-profit institutions serving households P.3n",NA,0
"213",1990,"Cameroon (CMR) Government final consumption P.3g","Cameroon","Government final consumption P.3g",NA,0
"214",1990,"Cameroon (CMR) Gross fixed capital formation P.51","Cameroon","Gross fixed capital formation P.51",NA,0
"215",1990,"Cameroon (CMR) Changes in inventories P.52","Cameroon","Changes in inventories P.52",NA,0
"216",1990,"Cameroon (CMR) Acquisitions less disposals of valuables P.53","Cameroon","Acquisitions less disposals of valuables P.53",NA,0
"217",1990,"DR Congo (COD) Household final consumption P.3h","DR Congo","Household final consumption P.3h",0,664.291783123021
"218",1990,"DR Congo (COD) Non-profit institutions serving households P.3n","DR Congo","Non-profit institutions serving households P.3n",NA,0
"219",1990,"DR Congo (COD) Government final consumption P.3g","DR Congo","Government final consumption P.3g",NA,0
"220",1990,"DR Congo (COD) Gross fixed capital formation P.51","DR Congo","Gross fixed capital formation P.51",NA,0
"221",1990,"DR Congo (COD) Changes in inventories P.52","DR Congo","Changes in inventories P.52",NA,0
"222",1990,"DR Congo (COD) Acquisitions less disposals of valuables P.53","DR Congo","Acquisitions less disposals of valuables P.53",NA,0
"223",1990,"Rep Congo (COG) Household final consumption P.3h","Rep Congo","Household final consumption P.3h",0,366.193574822791
"224",1990,"Rep Congo (COG) Non-profit institutions serving households P.3n","Rep Congo","Non-profit institutions serving households P.3n",NA,0
"225",1990,"Rep Congo (COG) Government final consumption P.3g","Rep Congo","Government final consumption P.3g",NA,0
"226",1990,"Rep Congo (COG) Gross fixed capital formation P.51","Rep Congo","Gross fixed capital formation P.51",NA,0
"227",1990,"Rep Congo (COG) Changes in inventories P.52","Rep Congo","Changes in inventories P.52",NA,0
"228",1990,"Rep Congo (COG) Acquisitions less disposals of valuables P.53","Rep Congo","Acquisitions less disposals of valuables P.53",NA,0
"229",1990,"Colombia (COL) Household final consumption P.3h","Colombia","Household final consumption P.3h",0,10952.3366993984
"230",1990,"Colombia (COL) Non-profit institutions serving households P.3n","Colombia","Non-profit institutions serving households P.3n",NA,0
"231",1990,"Colombia (COL) Government final consumption P.3g","Colombia","Government final consumption P.3g",NA,0
"232",1990,"Colombia (COL) Gross fixed capital formation P.51","Colombia","Gross fixed capital formation P.51",NA,0
"233",1990,"Colombia (COL) Changes in inventories P.52","Colombia","Changes in inventories P.52",NA,0
"234",1990,"Colombia (COL) Acquisitions less disposals of valuables P.53","Colombia","Acquisitions less disposals of valuables P.53",NA,0
"235",1990,"Costa Rica (CRI) Household final consumption P.3h","Costa Rica","Household final consumption P.3h",0,481.336264532605
"236",1990,"Costa Rica (CRI) Non-profit institutions serving households P.3n","Costa Rica","Non-profit institutions serving households P.3n",NA,0
"237",1990,"Costa Rica (CRI) Government final consumption P.3g","Costa Rica","Government final consumption P.3g",NA,0
"238",1990,"Costa Rica (CRI) Gross fixed capital formation P.51","Costa Rica","Gross fixed capital formation P.51",NA,0
"239",1990,"Costa Rica (CRI) Changes in inventories P.52","Costa Rica","Changes in inventories P.52",NA,0
"240",1990,"Costa Rica (CRI) Acquisitions less disposals of valuables P.53","Costa Rica","Acquisitions less disposals of valuables P.53",NA,0
"241",1990,"Cuba (CUB) Household final consumption P.3h","Cuba","Household final consumption P.3h",0,6158.42457953094
"242",1990,"Cuba (CUB) Non-profit institutions serving households P.3n","Cuba","Non-profit institutions serving households P.3n",NA,0
"243",1990,"Cuba (CUB) Government final consumption P.3g","Cuba","Government final consumption P.3g",NA,0
"244",1990,"Cuba (CUB) Gross fixed capital formation P.51","Cuba","Gross fixed capital formation P.51",NA,0
"245",1990,"Cuba (CUB) Changes in inventories P.52","Cuba","Changes in inventories P.52",NA,0
"246",1990,"Cuba (CUB) Acquisitions less disposals of valuables P.53","Cuba","Acquisitions less disposals of valuables P.53",NA,0
"247",1990,"Cyprus (CYP) Household final consumption P.3h","Cyprus","Household final consumption P.3h",0,874.625818902383
