year,country,sector,ecp_edgar,co2_edgar_total,co2_edgar_1a,co2_edgar_1a3b,co2_edgar_1a4,co2_edgar_1b,co2_edgar_2,co2_edgar_3,co2_edgar_4,co2_edgar_5
1990,Albania,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Albania,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Albania,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,United Arab Emirates,Household final consumption P.3h,NA,9907.893204,9907.893204,9605.441114,302.4520903,0,0,0,0,0
1990,United Arab Emirates,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,United Arab Emirates,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,United Arab Emirates,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,United Arab Emirates,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,United Arab Emirates,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Argentina,Household final consumption P.3h,NA,39856.26522,39856.26522,17968.97024,21887.29498,0,0,0,0,0
1990,Argentina,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Argentina,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Argentina,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Argentina,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Argentina,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Armenia,Household final consumption P.3h,NA,8673.877128,8673.877128,1757.059695,6916.817433,0,0,0,0,0
1990,Armenia,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Armenia,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Armenia,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Armenia,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Armenia,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Australia,Household final consumption P.3h,NA,50514.18959,50514.18959,38574.02651,11940.16308,0,0,0,0,0
1990,Australia,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Australia,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Australia,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Australia,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Australia,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Austria,Household final consumption P.3h,NA,24550.14986,24550.14986,11507.87735,13042.27251,0,0,0,0,0
1990,Austria,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Austria,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Austria,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Austria,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Austria,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Azerbaijan,Household final consumption P.3h,NA,11902.02283,11902.02283,3112.53214,8789.490688,0,0,0,0,0
1990,Azerbaijan,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Azerbaijan,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Azerbaijan,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Azerbaijan,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Azerbaijan,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Burundi,Household final consumption P.3h,NA,80.97532077,80.97532077,55.78820877,25.187112,0,0,0,0,0
1990,Burundi,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Burundi,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Burundi,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Burundi,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Burundi,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Belgium,Household final consumption P.3h,NA,42615.93065,42615.93065,16573.17903,26042.75162,0,0,0,0,0
1990,Belgium,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Belgium,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Belgium,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Belgium,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Belgium,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Benin,Household final consumption P.3h,NA,152.8919135,152.8919135,118.4758032,34.4161103,0,0,0,0,0
1990,Benin,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Benin,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Benin,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Benin,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Benin,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Burkina Faso,Household final consumption P.3h,NA,107.2157382,107.2157382,66.22047979,40.99525841,0,0,0,0,0
1990,Burkina Faso,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Burkina Faso,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Burkina Faso,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Burkina Faso,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Burkina Faso,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bangladesh,Household final consumption P.3h,NA,3525.703197,3525.703197,548.9946634,2976.708533,0,0,0,0,0
1990,Bangladesh,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bangladesh,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bangladesh,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bangladesh,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bangladesh,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bulgaria,Household final consumption P.3h,NA,11814.30928,11814.30928,4305.992879,7508.316398,0,0,0,0,0
1990,Bulgaria,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bulgaria,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bulgaria,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bulgaria,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bulgaria,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bahrain,Household final consumption P.3h,NA,928.9150914,928.9150914,804.0707231,124.8443683,0,0,0,0,0
1990,Bahrain,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bahrain,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bahrain,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bahrain,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bahrain,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bahamas,Household final consumption P.3h,NA,337.8479614,337.8479614,161.2431154,176.604846,0,0,0,0,0
1990,Bahamas,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bahamas,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bahamas,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bahamas,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bahamas,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bosnia and Herzegovina,Household final consumption P.3h,NA,1451.721685,1451.721685,1159.368708,292.3529769,0,0,0,0,0
1990,Bosnia and Herzegovina,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bosnia and Herzegovina,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bosnia and Herzegovina,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bosnia and Herzegovina,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bosnia and Herzegovina,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Belarus,Household final consumption P.3h,NA,24388.70823,24388.70823,6764.294441,17624.41379,0,0,0,0,0
1990,Belarus,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Belarus,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Belarus,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Belarus,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Belarus,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Belize,Household final consumption P.3h,NA,46.88013151,46.88013151,25.94745478,20.93267672,0,0,0,0,0
1990,Belize,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Belize,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Belize,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Belize,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Belize,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bolivia,Household final consumption P.3h,NA,1038.367803,1038.367803,411.0363712,627.3314314,0,0,0,0,0
1990,Bolivia,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bolivia,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bolivia,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bolivia,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bolivia,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Brazil,Household final consumption P.3h,NA,73058.92899,73058.92899,46498.41215,26560.51684,0,0,0,0,0
1990,Brazil,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Brazil,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Brazil,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Brazil,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Brazil,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Brunei Darussalam,Household final consumption P.3h,NA,373.7428922,373.7428922,328.2702987,45.47259352,0,0,0,0,0
1990,Brunei Darussalam,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Brunei Darussalam,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Brunei Darussalam,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Brunei Darussalam,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Brunei Darussalam,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Bhutan,Household final consumption P.3h,NA,16.21003868,16.21003868,9.309537422,6.900501257,0,0,0,0,0
1990,Bhutan,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Bhutan,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Bhutan,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Bhutan,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Bhutan,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Botswana,Household final consumption P.3h,NA,364.9777844,364.9777844,230.3886041,134.5891802,0,0,0,0,0
1990,Botswana,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Botswana,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Botswana,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Botswana,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Botswana,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Central African Republic,Household final consumption P.3h,NA,65.64968386,65.64968386,45.22956173,20.42012214,0,0,0,0,0
1990,Central African Republic,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Central African Republic,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Central African Republic,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Central African Republic,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Central African Republic,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Canada,Household final consumption P.3h,NA,133184.7899,133184.7899,63483.40602,69701.38386,0,0,0,0,0
1990,Canada,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Canada,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Canada,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Canada,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Canada,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Switzerland,Household final consumption P.3h,NA,27504.08667,27504.08667,10909.53064,16594.55603,0,0,0,0,0
1990,Switzerland,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Switzerland,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Switzerland,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Switzerland,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Switzerland,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Chile,Household final consumption P.3h,NA,7221.443207,7221.443207,3865.559204,3355.884002,0,0,0,0,0
1990,Chile,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Chile,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Chile,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Chile,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Chile,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,China,Household final consumption P.3h,NA,504434.797,504434.797,34842.44199,469592.355,0,0,0,0,0
1990,China,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,China,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,China,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,China,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,China,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Cote d'Ivoire,Household final consumption P.3h,NA,840.5217166,840.5217166,313.7258682,526.7958484,0,0,0,0,0
1990,Cote d'Ivoire,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Cote d'Ivoire,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Cote d'Ivoire,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Cote d'Ivoire,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Cote d'Ivoire,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Cameroon,Household final consumption P.3h,NA,1746.084313,1746.084313,1064.979291,681.1050223,0,0,0,0,0
1990,Cameroon,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Cameroon,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Cameroon,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Cameroon,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Cameroon,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,DR Congo,Household final consumption P.3h,NA,664.2917831,664.2917831,336.4931849,327.7985982,0,0,0,0,0
1990,DR Congo,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,DR Congo,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,DR Congo,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,DR Congo,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,DR Congo,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Rep Congo,Household final consumption P.3h,NA,366.1935748,366.1935748,291.7578945,74.43568034,0,0,0,0,0
1990,Rep Congo,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Rep Congo,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Rep Congo,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Rep Congo,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Rep Congo,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Colombia,Household final consumption P.3h,NA,10952.3367,10952.3367,6430.788327,4521.548372,0,0,0,0,0
1990,Colombia,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Colombia,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Colombia,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Colombia,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Colombia,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Costa Rica,Household final consumption P.3h,NA,481.3362645,481.3362645,343.6109307,137.7253339,0,0,0,0,0
1990,Costa Rica,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Costa Rica,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Costa Rica,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Costa Rica,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Costa Rica,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Cuba,Household final consumption P.3h,NA,6158.42458,6158.42458,2595.958601,3562.465978,0,0,0,0,0
1990,Cuba,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Cuba,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Cuba,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Cuba,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Cuba,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Cyprus,Household final consumption P.3h,NA,874.6258189,874.6258189,691.785534,182.840285,0,0,0,0,0
1990,Cyprus,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Cyprus,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Cyprus,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Cyprus,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Cyprus,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,CSSR/Czech Republic (1990/1991),Household final consumption P.3h,NA,32012.46629,32012.46629,5176.434089,26836.0322,0,0,0,0,0
1990,CSSR/Czech Republic (1990/1991),Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,CSSR/Czech Republic (1990/1991),Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,CSSR/Czech Republic (1990/1991),Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,CSSR/Czech Republic (1990/1991),Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,CSSR/Czech Republic (1990/1991),Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Germany,Household final consumption P.3h,NA,334189.3955,334189.3955,130795.3883,203394.0072,0,0,0,0,0
1990,Germany,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Germany,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Germany,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Germany,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Germany,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Djibouti,Household final consumption P.3h,NA,419.8804632,419.8804632,289.2780012,130.602462,0,0,0,0,0
1990,Djibouti,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Djibouti,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Djibouti,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Djibouti,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Djibouti,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,DR Yemen (Aden),Household final consumption P.3h,NA,0,0,0,0,0,0,0,0,0
1990,DR Yemen (Aden),Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,DR Yemen (Aden),Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,DR Yemen (Aden),Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,DR Yemen (Aden),Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,DR Yemen (Aden),Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Denmark,Household final consumption P.3h,NA,15737.28842,15737.28842,7156.409261,8580.879155,0,0,0,0,0
1990,Denmark,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Denmark,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Denmark,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Denmark,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Denmark,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Dominican Republic,Household final consumption P.3h,NA,2003.032078,2003.032078,982.390092,1020.641986,0,0,0,0,0
1990,Dominican Republic,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Dominican Republic,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Dominican Republic,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Dominican Republic,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Dominican Republic,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Algeria,Household final consumption P.3h,NA,15517.68428,15517.68428,8968.425633,6549.258644,0,0,0,0,0
1990,Algeria,Non-profit institutions serving households P.3n,NA,0,0,0,0,0,0,0,0,0
1990,Algeria,Government final consumption P.3g,NA,0,0,0,0,0,0,0,0,0
1990,Algeria,Gross fixed capital formation P.51,NA,0,0,0,0,0,0,0,0,0
1990,Algeria,Changes in inventories P.52,NA,0,0,0,0,0,0,0,0,0
1990,Algeria,Acquisitions less disposals of valuables P.53,NA,0,0,0,0,0,0,0,0,0
1990,Ecuador,Household final consumption P.3h,NA,3068.320635,3068.320635,1655.091426,1413.229209,0,0,0,0,0
