"year","country","gloria_sector","gloria_sector_name","paidShare_a_md","paidShare_a_um","paidShare_a_wm","sum_verified","sum_allocatedFreeM","sum_allocatedTotal","sum_surrendered","n_installations"
2005,"Austria","87","Motor vehicles, trailers and semi-trailers",0,0.0148737624934868,0.0142886396213966,43951,52539,52539,43951,3
2005,"Austria","88","Other transport equipment",0,0,0,6267,6450,6450,6267,1
2005,"Austria","90","Computers; electronic products; optical and precision instruments",0,0,0,3085,6294,6294,3085,1
2005,"Austria","93","Electric power generation, transmission and distribution",0.157524243906444,0.179879363353076,0.213513536275143,13536294,11027917,11027917,13536294,22
2005,"Austria","93_94","Aggregate (see variable gloria_sector)",0,0,0,9595,9628,9628,9595,1
2005,"Austria","94","Distribution of gaseous fuels through mains",0,0.0654312697487011,0.0329522151953266,928496,1010963,1010963,928496,36
2005,"Austria","97","Materials recovery",0,0,0,721,13942,13942,721,1
2005,"Belgium","28","Iron ores",0,0,0,627482,692988,692988,627482,1
2005,"Belgium","41_42_43_44_45","Aggregate (see variable gloria_sector)",0,0.0570693752645115,0.0286662742019885,61152,90569,90569,61152,3
2005,"Belgium","47","Cereal products",0,0.0104926014277401,0.0113443703202071,416418,428992,428992,416418,3
2005,"Belgium","48_49","Aggregate (see variable gloria_sector)",0.0887160351080044,0.112744912253974,0.151935905601555,149155,139982,139982,149155,7
2005,"Belgium","50","Food products and feeds n.e.c.",0,0,0,56729,63926,63926,56729,2
2005,"Belgium","51","Sugar refining; cocoa, chocolate and confectionery",0,0.0114272615540686,0.0113371333455914,413332,481169,481169,413332,8
2005,"Belgium","52_53","Aggregate (see variable gloria_sector)",0,0.0245409560171812,0.038738327947503,100882,147897,147897,100882,4
2005,"Belgium","54","Dairy products",0,0.0287551440407165,0.0132607605392808,203382,237479,237479,203382,8
2005,"Belgium","55","Alcoholic and other  beverages",0.00525096525096525,0.0541893922547017,0.0290914050778434,153963,175149,175149,153963,8
2005,"Belgium","57","Textiles and clothing",0,0.00117280652601676,0.000889565397882834,101173,138993,138993,101173,13
2005,"Belgium","59","Sawmill products",0.0817245817245817,0.0861564585208523,0.0352596797800151,67641,81227,81227,67641,4
2005,"Belgium","60","Pulp and paper",0,0.0197687526899679,0.0060199697494465,729904,849705,849705,729904,12
2005,"Belgium","62","Coke oven products",0.103171865021398,0.103171865021398,0.103171865021398,136229,122174,122174,136229,1
2005,"Belgium","63","Refined petroleum products",0,0.0387647932597685,0.00958546151800354,5576153,6580222,6580222,5576153,5
2005,"Belgium","64","Nitrogenous fertilizers",0,0,0,287314,322830,322830,287314,1
2005,"Belgium","66","Basic petrochemical products",0,0.0242261157903679,0.011189966748915,890798,1056049,1056049,890798,14
2005,"Belgium","66_67_68_70","Aggregate (see variable gloria_sector)",0,0.00967856025843672,0.0170418890307654,2932128,3407481,3407481,2932128,25
2005,"Belgium","69","Pharmaceuticals and medicinal products",0.00607844999525121,0.0230608948980221,0.039824445825949,107773,115602,115602,107774,7
2005,"Belgium","70","Dyes, paints, glues, detergents and other chemical products",0.00753110674525213,0.0152196847272516,0.0184989669703561,219742,237938,237938,219742,6
2005,"Belgium","72","Plastic products",0,0.0221614989962079,0.0239360100225266,83013,91061,91061,83013,5
2005,"Belgium","73","Clay building materials",0,0.0225924260941837,0.0406007280796898,641688,715727,715727,641688,33
2005,"Belgium","73_74_75_76","Aggregate (see variable gloria_sector)",0,0,0,8102,14140,14140,8102,1
2005,"Belgium","74","Glass and other ceramics n.e.c.",0,0.0205653214967035,0.0473805425977019,1364252,1400729,1400729,1364252,12
2005,"Belgium","75","Cement, lime and plaster products",0,0.00106727414915141,0.00262289964482297,7995731,9230207,9230207,7995731,13
2005,"Belgium","76","Other non-metallic mineral products n.e.c.",0,0,0,9935,10193,10193,9935,1
2005,"Belgium","77","Basic iron and steel",0,0,0,26990,32474,32474,26990,2
2005,"Belgium","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0,0,10209645,17953933,17953933,10209645,27
2005,"Belgium","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0.033497664111117,0.0271025872055606,194225,194722,194722,194225,5
2005,"Belgium","85","Fabricated metal products",0,0,0,23066,25792,25792,23066,4
2005,"Belgium","86","Machinery and equipment",0,0,0,66113,80254,80254,66113,5
2005,"Belgium","87","Motor vehicles, trailers and semi-trailers",0,0.00504368828585636,0.000978089419414386,145181,179119,179119,145181,7
2005,"Belgium","88","Other transport equipment",0,0,0,19264,22844,22844,19264,3
2005,"Belgium","91","Electrical equipment",0,0,0,9054,9185,9185,9054,1
2005,"Belgium","93","Electric power generation, transmission and distribution",0,0.248686664887242,0.463152862538708,20897010,12178925,12178925,20909284,40
2005,"Belgium","93_94","Aggregate (see variable gloria_sector)",0,0,0,354014,662361,662361,354014,3
2005,"Belgium","94","Distribution of gaseous fuels through mains",0.00207172938459448,0.0178838550217019,0.0100581268474617,50407,92601,92601,50407,4
2005,"Belgium","112","Finance and insurance",0,0,0,2848,2950,2950,2848,1
2005,"Belgium","116","Government; social security; defence; public order",0,0,0,13445,16190,16190,13445,2
2005,"CSSR/Czech Republic (1990/1991)","51","Sugar refining; cocoa, chocolate and confectionery",0,0.0263220699667867,0.0463862424281367,171193,233152,233152,115429,6
2005,"CSSR/Czech Republic (1990/1991)","54","Dairy products",0,0,0,11664,12395,12395,369,1
2005,"CSSR/Czech Republic (1990/1991)","55","Alcoholic and other  beverages",0.0429793854531311,0.0429793854531311,0.0148138217649227,29837,34231,34231,25137,2
2005,"CSSR/Czech Republic (1990/1991)","57","Textiles and clothing",0.00347972162227022,0.00347972162227022,0.00643443532283115,4507,4938,4938,369,2
2005,"CSSR/Czech Republic (1990/1991)","60","Pulp and paper",0.00748617725953906,0.029176691843249,0.0131372883143861,123237,192449,192449,14421,6
2005,"CSSR/Czech Republic (1990/1991)","61","Printing",0.0554089709762533,0.0554089709762533,0.0554089709762533,2653,2506,2506,2653,1
2005,"CSSR/Czech Republic (1990/1991)","64","Nitrogenous fertilizers",0,0,0,133284,188018,188018,133282,2
2005,"CSSR/Czech Republic (1990/1991)","66_67_68_70","Aggregate (see variable gloria_sector)",0,0.0274102207453522,0.000993295177678111,3129986,3589584,3589584,2100198,5
2005,"CSSR/Czech Republic (1990/1991)","69","Pharmaceuticals and medicinal products",0,0,0,14864,16955,16955,14864,1
2005,"CSSR/Czech Republic (1990/1991)","71","Rubber products",0,0,0,23237,29879,29879,208,1
2005,"CSSR/Czech Republic (1990/1991)","73","Clay building materials",0,0.0950593947537882,0.0502646804502028,142247,178126,178126,73701,13
2005,"CSSR/Czech Republic (1990/1991)","73_74_75_76","Aggregate (see variable gloria_sector)",0,0.0142718257826171,0.032613525282147,33759,36361,36361,19145,3
2005,"CSSR/Czech Republic (1990/1991)","74","Glass and other ceramics n.e.c.",0.0508105162784362,0.0478987128407569,0.0315107320942186,162643,161210,161210,103023,9
2005,"CSSR/Czech Republic (1990/1991)","75","Cement, lime and plaster products",0,0,0,540631,546481,546481,59150,1
2005,"CSSR/Czech Republic (1990/1991)","76","Other non-metallic mineral products n.e.c.",0,0,0,29308,29540,29540,22649,2
2005,"CSSR/Czech Republic (1990/1991)","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0,0,151208,216211,216211,105193,2
2005,"CSSR/Czech Republic (1990/1991)","85","Fabricated metal products",0.0986690555413361,0.0986690555413361,0.133854166666667,5760,7359,7359,901,2
2005,"CSSR/Czech Republic (1990/1991)","86","Machinery and equipment",0.0211038961038961,0.0211038961038961,0.0368244502422661,13415,16294,16294,1121,2
2005,"CSSR/Czech Republic (1990/1991)","87","Motor vehicles, trailers and semi-trailers",0.182827904654936,0.167819921688447,0.209529674389962,25982,20538,20538,5444,3
2005,"CSSR/Czech Republic (1990/1991)","88","Other transport equipment",0,0,0,12167,18534,18534,12167,1
2005,"CSSR/Czech Republic (1990/1991)","93","Electric power generation, transmission and distribution",0,0.0118633134921826,0.00322536628469632,12693132,14045688,14045688,3203038,9
2005,"CSSR/Czech Republic (1990/1991)","93_94","Aggregate (see variable gloria_sector)",0,0,0,3402,4227,4227,1909,2
2005,"CSSR/Czech Republic (1990/1991)","94","Distribution of gaseous fuels through mains",0,0.00835113225572429,0.0125571854107196,1546286,1957914,1957914,260923,21
2005,"Denmark","10","Growing crops n.e.c.",0,0,0,84291,120900,120900,84291,4
2005,"Denmark","26","Petroleum extraction",0,0.00480940367608328,0.00196562490510659,2206423,2845340,2845340,2415993,7
2005,"Denmark","39","Extraction of salt",0,0,0,886,31404,31404,886,1
2005,"Denmark","40","Mining and quarrying n.e.c.; services to mining",0,0,0,27686,46818,46818,27686,2
2005,"Denmark","41_42_43_44_45","Aggregate (see variable gloria_sector)",0,0,0,48256,108266,108266,48256,6
2005,"Denmark","46","Fish products",0,0,0,132505,232183,232183,132505,4
2005,"Denmark","50","Food products and feeds n.e.c.",0,0,0,66245,82432,82432,66245,5
2005,"Denmark","51","Sugar refining; cocoa, chocolate and confectionery",0,0,0,263311,394255,394255,264183,4
2005,"Denmark","52_53","Aggregate (see variable gloria_sector)",0,0,0,113214,142518,142518,113214,1
2005,"Denmark","54","Dairy products",0,0.01634013572816,0.0186177915484953,182997,209663,209663,220699,5
2005,"Denmark","55","Alcoholic and other  beverages",0,0.00930647628760836,0.00353505189585317,123902,164263,164263,158770,6
2005,"Denmark","57","Textiles and clothing",0,0,0,5840,7822,7822,5840,1
2005,"Denmark","59","Sawmill products",0,0,0,20034,32442,32442,20034,3
2005,"Denmark","60","Pulp and paper",0,0,0,31241,36753,36753,31241,3
2005,"Denmark","63","Refined petroleum products",0,0,0,924181,1248619,1248619,924181,2
2005,"Denmark","65_70","Aggregate (see variable gloria_sector)",0,0,0,85700,111670,111670,157515,1
2005,"Denmark","66_67_68_70","Aggregate (see variable gloria_sector)",0,0,0,33025,38270,38270,33025,2
2005,"Denmark","69","Pharmaceuticals and medicinal products",0,0,0,6466,54157,54157,6466,2
2005,"Denmark","70","Dyes, paints, glues, detergents and other chemical products",0,0,0,176399,313178,313178,176399,4
2005,"Denmark","73","Clay building materials",0,0.0129669125437536,0.0113922204804783,164586,215844,215844,246245,21
2005,"Denmark","74","Glass and other ceramics n.e.c.",0,0,0,75089,102839,102839,79890,3
2005,"Denmark","75","Cement, lime and plaster products",0,0.0126787184669511,0.000501341597514826,2702748,3516927,3516927,2702748,4
2005,"Denmark","76","Other non-metallic mineral products n.e.c.",0,0.050941385626902,0.00763956615539203,270696,330545,330545,451546,20
2005,"Denmark","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0,0,67369,108806,108806,67369,1
2005,"Denmark","86","Machinery and equipment",0,0,0,25900,35420,35420,25900,1
2005,"Denmark","88","Other transport equipment",0,0,0,16726,19621,19621,16726,1
2005,"Denmark","93","Electric power generation, transmission and distribution",0,0.0228095807001948,0.00394475270320459,18112669,25913402,25913402,26430327,97
2005,"Denmark","93_94","Aggregate (see variable gloria_sector)",0,0,0,30,330,330,30,1
2005,"Denmark","94","Distribution of gaseous fuels through mains",0,0.119323077493382,0.107944886226079,375877,601904,601904,436692,133
2005,"Denmark","96","Waste collection, treatment, and disposal",0.0411334552102377,0.0411334552102377,0.0411334552102377,1094,1049,1049,1094,1
2005,"Denmark","118","Human health and social work activities",0,0,0,10396,20015,20015,10396,3
2005,"Estonia","25","Lignite and peat",0,0,0,49079,122829,122829,49079,2
2005,"Estonia","54","Dairy products",0,0,0,9129,13699,13699,9129,1
2005,"Estonia","59","Sawmill products",0,0,0,6149,27632,27632,6149,2
2005,"Estonia","60","Pulp and paper",0,0,0,51115,73500,73500,51115,1
2005,"Estonia","63","Refined petroleum products",0,0,0,70298,132875,132875,70298,1
2005,"Estonia","73","Clay building materials",0,0,0,6667,9129,9129,6667,1
2005,"Estonia","74","Glass and other ceramics n.e.c.",0,0,0,32476,35933,35933,32476,1
2005,"Estonia","75","Cement, lime and plaster products",0,0,0,826930,873620,873620,826930,3
2005,"Estonia","93","Electric power generation, transmission and distribution",0,0.00559318837846855,0.000541810151746186,10675326,13929916,13929916,10675326,5
2005,"Estonia","93_94","Aggregate (see variable gloria_sector)",0,0,0,15464,20641,20641,15464,1
2005,"Estonia","94","Distribution of gaseous fuels through mains",0,0.0172455856789973,0.0104297066817902,867522,1487046,1487046,867522,22
2005,"Finland","10","Growing crops n.e.c.",0,0,0,11400,12426,12426,11400,1
2005,"Finland","40","Mining and quarrying n.e.c.; services to mining",0.0295823083488127,0.0295823083488127,0.0359699055351229,65527,83516,83516,65527,2
2005,"Finland","51","Sugar refining; cocoa, chocolate and confectionery",0.161617597412981,0.161617597412981,0.161617597412981,56281,47185,47185,56281,1
2005,"Finland","55","Alcoholic and other  beverages",0.18031104762288,0.18031104762288,0.18031104762288,49703,40741,40741,49703,1
2005,"Finland","57","Textiles and clothing",0.145622259186451,0.145622259186451,0.145622259186451,6613,5650,5650,6613,1
2005,"Finland","59","Sawmill products",0.0111427216690375,0.135188559801275,0.0860154799845901,28553,30630,30630,28553,6
2005,"Finland","60","Pulp and paper",0,0.0438749116500618,0.0209786107500351,3443412,4458320,4458320,3443594,42
2005,"Finland","63","Refined petroleum products",0.0143179566912843,0.0143179566912843,0.00429141484027549,2660894,3081624,3081624,2660894,2
2005,"Finland","66_67_68_70","Aggregate (see variable gloria_sector)",0,0,0,17410,18062,18062,17410,1
2005,"Finland","70","Dyes, paints, glues, detergents and other chemical products",0.0670368085543903,0.0670368085543903,0.0670368085543903,4863,4537,4537,4863,1
2005,"Finland","73","Clay building materials",0,0.00442335012269146,0.00459361587982833,29824,30559,30559,29824,4
2005,"Finland","74","Glass and other ceramics n.e.c.",0,0.0115853237211231,0.0133942836854252,112660,121303,121303,112660,3
2005,"Finland","75","Cement, lime and plaster products",0,0.00653336216871913,0.00320831566169911,1641048,1983455,1983455,1641049,8
2005,"Finland","76","Other non-metallic mineral products n.e.c.",0,0,0,30926,34329,34329,30926,1
2005,"Finland","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0.0331407722712071,0.00025872807694937,6319376,7026965,7026965,6319389,5
2005,"Finland","93","Electric power generation, transmission and distribution",0,0.180768698079206,0.00755916992576824,9662172,16046790,16046790,9665450,107
2005,"Finland","93_94","Aggregate (see variable gloria_sector)",0,0.204994094234703,0.0031055900621118,30268,33195,33195,30268,10
2005,"Finland","94","Distribution of gaseous fuels through mains",0,0.144184990156676,0.0274486291975188,8839895,11459306,11459306,8840381,217
2005,"Finland","118","Human health and social work activities",0.0148662041625372,0.0148662041625372,0.0148662041625372,3027,2982,2982,3027,1
2005,"France","11","Growing grapes",0,0,0,7724,8653,8653,7724,1
2005,"France","41_42_43_44_45","Aggregate (see variable gloria_sector)",0,0.0121986429911939,0.016617175670095,50851,66474,66474,42540,5
2005,"France","47","Cereal products",0,0,0,100636,140168,140168,100636,2
2005,"France","48_49","Aggregate (see variable gloria_sector)",0,0.0502896494821764,0.0302606059827633,77857,102109,102109,77858,6
2005,"France","50","Food products and feeds n.e.c.",0,0.0384070853992412,0.0268084538048109,217133,259880,259880,203807,12
2005,"France","51","Sugar refining; cocoa, chocolate and confectionery",0,0.00596564779191158,0.00559712786930121,759854,1037255,1037255,560472,14
2005,"France","52_53","Aggregate (see variable gloria_sector)",0,0,0,67619,82704,82704,67619,4
2005,"France","54","Dairy products",0.0010292848130686,0.0279241132101613,0.032226159385639,244677,296292,296292,149450,16
2005,"France","55","Alcoholic and other  beverages",0,0,0,42173,80611,80611,30471,3
2005,"France","57","Textiles and clothing",0,0,0,79904,169594,169594,79905,13
2005,"France","59","Sawmill products",0,0,0,43468,85655,85655,43468,4
2005,"France","60","Pulp and paper",0,0.0134899372125439,0.0183777532816209,887214,1330510,1330510,570637,30
2005,"France","63","Refined petroleum products",0,0.0100045214578199,0.00115490826455589,6801406,7469418,7469418,12530,5
2005,"France","65_70","Aggregate (see variable gloria_sector)",0,0,0,2388,4736,4736,2388,1
2005,"France","66","Basic petrochemical products",0,0.0188761840069437,0.0251951846068604,198530,246234,246234,157687,6
2005,"France","66_67_68_70","Aggregate (see variable gloria_sector)",0,0.130923944693486,0.00522135552723626,928303,1121496,1121496,235210,9
2005,"France","69","Pharmaceuticals and medicinal products",0,0.0442019171273683,0.0463806545855602,170459,267140,267140,163504,9
2005,"France","70","Dyes, paints, glues, detergents and other chemical products",0,0,0,36836,69066,69066,39247,4
2005,"France","71","Rubber products",0.0689564898685795,0.0604113211137094,0.0739194727280409,118345,128759,128759,118346,5
2005,"France","72","Plastic products",0,0,0,3060,7126,7126,3060,1
2005,"France","73","Clay building materials",0,0.0555376762840074,0.0487829606234976,848247,974226,974226,473846,34
2005,"France","73_74_75_76","Aggregate (see variable gloria_sector)",0,0,0,16459,20000,20000,16460,1
2005,"France","74","Glass and other ceramics n.e.c.",0,0.0257879754397041,0.0207281273989697,2915314,3052707,3052707,2453888,40
2005,"France","75","Cement, lime and plaster products",0.0216922188752683,0.0385014977238886,0.0394811643498062,12529671,12355096,12355096,7674725,33
2005,"France","76","Other non-metallic mineral products n.e.c.",0,0,0,11147,22558,22558,11147,1
2005,"France","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0.0311532587608866,0.0490288697392378,0.057211874235114,312138,373679,373679,77154,5
2005,"France","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0.0615150361629235,0.0615150361629235,0.0151757038483932,106486,128440,128440,1616,2
2005,"France","85","Fabricated metal products",0,0,0,7036,9219,9219,7036,1
2005,"France","86","Machinery and equipment",0.0987359070720875,0.0987359070720875,0.0987359070720875,2927,2638,2638,2927,1
2005,"France","87","Motor vehicles, trailers and semi-trailers",0.12545322697607,0.112409984842494,0.103964558271892,30924,32888,32888,13899,3
2005,"France","88","Other transport equipment",0,0.0129764801297648,0.0199553084238424,19243,37788,37788,12229,4
2005,"France","89","Repair and installation of machinery and equipment (service)",0,0,0,12639,14237,14237,12639,1
2005,"France","90","Computers; electronic products; optical and precision instruments",0.126315295001879,0.126315295001879,0.120141184880708,22382,21021,21021,22382,2
2005,"France","92","Furniture and other manufacturing n.e.c",0,0.0121790824915825,0.01865055387714,24825,29497,29497,24825,3
2005,"France","93","Electric power generation, transmission and distribution",0.0560575819961968,0.186626912733141,0.176812980562539,18129014,15130454,15130454,4940821,41
2005,"France","93_94","Aggregate (see variable gloria_sector)",0,0,0,204679,220074,220074,204680,4
2005,"France","94","Distribution of gaseous fuels through mains",0,0.0662976281969386,0.0313670422992192,1701308,2077972,2077972,618551,52
2005,"France","95","Water collection, treatment and supply; sewerage",0.289392002921307,0.289392002921307,0.289392002921307,10954,7784,7784,10954,1
2005,"France","97","Materials recovery",0,0,0,15332,35510,35510,15332,2
2005,"France","98","Building construction",0.278055555555556,0.278055555555556,0.278055555555556,7200,5198,5198,2002,1
2005,"France","100","Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,16583,18804,18804,16583,1
2005,"France","102","Rail transport",0,0,0,6159,6498,6498,6094,1
2005,"France","103","Transport via pipeline",0.131213450292398,0.131213450292398,0.131213450292398,5472,4754,4754,5472,1
2005,"France","106","Services to transport",0.449584797189396,0.442193890911869,0.414164965026935,200297,117341,117341,74390,7
2005,"France","114","Professional, scientific and technical services",0.0267098793026375,0.0267098793026375,0.0362932310846209,26341,27993,27993,10649,2
2005,"France","115","Administrative services",0,0,0,2269,2965,2965,2269,1
2005,"France","117","Education",0.104148419460148,0.0760853805728073,0.0859381477489429,24122,22511,22511,24122,3
2005,"France","118","Human health and social work activities",0,0.0256415885017772,0.0228073117558276,172927,209511,209511,190462,15
2005,"Germany","24","Hard coal",0.0604760753987434,0.0604760753987434,0.0604760753987434,16552,15551,15551,16552,1
2005,"Germany","26","Petroleum extraction",0,0.0147312729694399,0.0118260886783393,202011,215813,215813,202011,4
2005,"Germany","28","Iron ores",0,0,0,267023,355426,355426,267023,1
2005,"Germany","37","Quarrying of stone, sand and clay",0,0,0,19822,31816,31816,19822,1
2005,"Germany","40","Mining and quarrying n.e.c.; services to mining",0.237677926492458,0.237677926492458,0.237677926492458,18828,14353,14353,18828,1
2005,"Germany","41_42_43_44_45","Aggregate (see variable gloria_sector)",0,0,0,7735,10262,10262,7735,1
2005,"Germany","47","Cereal products",0.0430452104624978,0.0743802299359274,0.11991704538689,100778,91346,91346,50430,3
2005,"Germany","48_49","Aggregate (see variable gloria_sector)",0.0561064941398503,0.0833675276404443,0.0796050027893936,209723,198720,198720,209723,8
2005,"Germany","50","Food products and feeds n.e.c.",0.012983315300951,0.0797186942086023,0.101613977937366,108056,133016,133016,90951,8
2005,"Germany","51","Sugar refining; cocoa, chocolate and confectionery",0.0229085157745775,0.0502005068885883,0.0551555472533157,1739825,1797596,1797596,1740449,33
2005,"Germany","52_53","Aggregate (see variable gloria_sector)",0.0354660405959996,0.0639329186640368,0.0872081402321398,215129,216573,216573,193593,8
2005,"Germany","54","Dairy products",0.0043048333475407,0.0439483962007892,0.0630383365164489,237189,264157,264157,237189,10
2005,"Germany","55","Alcoholic and other  beverages",0,0.042720814896062,0.0862519627515999,210801,211461,211461,222779,15
2005,"Germany","57","Textiles and clothing",0,0.0052033661055375,0.00370432450553134,119320,135964,135964,119320,7
2005,"Germany","59","Sawmill products",0,0.112009170966083,0.0660510834760593,228293,592844,592844,232928,16
2005,"Germany","60","Pulp and paper",0,0.0524708409060618,0.0204999686777411,6113863,8388028,8388028,6131994,147
2005,"Germany","61","Printing",0,0,0,31075,32765,32765,31075,2
2005,"Germany","62","Coke oven products",0.00411031942222868,0.0534923547126658,0.00334724332158952,2939135,3598120,3598120,2974042,4
2005,"Germany","63","Refined petroleum products",0.0290612072918908,0.049170108921622,0.0456495852272716,24181315,23789164,23789164,24045288,30
2005,"Germany","64","Nitrogenous fertilizers",0.0328820924208239,0.0809202794579569,0.107532450114004,268412,272637,272637,268412,10
2005,"Germany","65_70","Aggregate (see variable gloria_sector)",0.0624840601887274,0.0529982196907413,0.0543754701436401,27917,26399,26399,27917,3
2005,"Germany","66","Basic petrochemical products",0,0,0,50279,74507,74507,50279,2
2005,"Germany","66_67_68_70","Aggregate (see variable gloria_sector)",0,0.0719599407776002,0.0599869881304516,2114992,2253938,2253938,2114992,30
2005,"Germany","69","Pharmaceuticals and medicinal products",0,0.0139134308411909,0.00674032831225632,139014,209293,209293,126482,5
2005,"Germany","70","Dyes, paints, glues, detergents and other chemical products",0,0.0160928845015103,0.0364965364837873,117655,153563,153563,119313,7
2005,"Germany","71","Rubber products",0,0.0358161922158379,0.0317716050022276,193034,198421,198421,193036,7
2005,"Germany","72","Plastic products",0,0.00702721175616216,0.0110258386675157,29839,40858,40858,29839,3
2005,"Germany","73","Clay building materials",0,0.0166175534494409,0.0176273596093381,1446161,1995471,1995471,1449394,123
2005,"Germany","73_74_75_76","Aggregate (see variable gloria_sector)",0.015600624024961,0.0831716202076546,0.105322419015234,177626,169376,169376,177626,21
2005,"Germany","74","Glass and other ceramics n.e.c.",0,0.0517594886360909,0.0378022436857534,4042723,4826376,4826376,4085182,141
2005,"Germany","75","Cement, lime and plaster products",0,0.0384878126072207,0.0502112829915973,26862787,28786086,28786086,26290935,86
2005,"Germany","76","Other non-metallic mineral products n.e.c.",0.0898587933247754,0.0898587933247754,0.0898587933247754,3116,2836,2836,3116,1
2005,"Germany","77_78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0.0650284206160042,0.0336719435615956,28187473,30475500,30475500,28195128,39
2005,"Germany","78_79_80_81_82_83_84","Aggregate (see variable gloria_sector)",0,0.0733866716468427,0.0931406892358128,75649,81638,81638,75649,7
2005,"Germany","85","Fabricated metal products",0.0593952015271812,0.0593952015271812,0.0593952015271812,69147,65040,65040,69147,1
2005,"Germany","86","Machinery and equipment",0.0386316953705167,0.0730343145629791,0.0848863809669056,32785,31905,31905,32785,6
2005,"Germany","87","Motor vehicles, trailers and semi-trailers",0.0312972582023802,0.122260645481258,0.0759680495287582,361810,404121,404121,349430,19
2005,"Germany","88","Other transport equipment",0.0685077027952839,0.069041704621903,0.0721541322905241,83876,80904,80904,83737,8
2005,"Germany","90","Computers; electronic products; optical and precision instruments",0,0.083373060354995,0.0974107887366103,46771,55140,55140,46771,5
2005,"Germany","91","Electrical equipment",0,0.0932870752794757,0.0580335731414868,29190,31755,31755,29190,3
2005,"Germany","92","Furniture and other manufacturing n.e.c",0.128704948466807,0.128704948466807,0.128704948466807,31242,27221,27221,31242,1
2005,"Germany","93","Electric power generation, transmission and distribution",0,0.0661729337500266,0.0481875234968985,320909374,324719586,324719586,320976089,303
2005,"Germany","93_94","Aggregate (see variable gloria_sector)",0,0,0,330779,463105,463105,330779,8
2005,"Germany","94","Distribution of gaseous fuels through mains",0,0.0603569596013191,0.0284361174368144,43168235,49614378,49614378,42209479,580
2005,"Germany","95","Water collection, treatment and supply; sewerage",0,0,0,3,11,11,3,1
2005,"Germany","96","Waste collection, treatment, and disposal",0,0,0,406,9701,9701,406,1
2005,"Germany","97","Materials recovery",0.100624945371908,0.100624945371908,0.100624945371908,45764,41159,41159,45764,1
2005,"Germany","102","Rail transport",0,0,0,3776,3876,3876,3776,1
2005,"Germany","106","Services to transport",0.0779673126730374,0.0779673126730374,0.022678564470249,76989,87740,87740,76989,2
